MALid, booru_name, confidence
183, death_note, 0.025182239893969515
184, xenosaga, 0.017229953611663355
185, initial_d, 0.017229953611663355
186, initial_d, 0.015904572564612324
187, initial_d, 0.015904572564612324
188, death_note, 0.003976143141153081
189, love_hina, 0.023194168323392977
190, love_hina, 0.015904572564612324
191, love_hina, 0.015904572564612324
192, love_hina, 0.015904572564612324
193, maburaho, 0.013916500994035786
194, macross_zero, 0.010603048376408217
197, death_note, 0.012591119946984758
198, speed_grapher, 0.01855533465871438
199, sen_to_chihiro_no_kamikakushi, 0.013253810470510271
201, den'ei_shoujo, 0.00728959575878065
202, wolf's_rain, 0.021206096752816435
203, words_worth, 0.0145791915175613
204, yumeria, 0.009940357852882704
205, samurai_champloo, 0.06428098078197482
206, record_of_lodoss_war, 0.017892644135188866
